is_page_list,name,parent_category_id,unique_id,url
avmtu40326 - sol pvc avec sous-couche intégrée - illume - graphite tendre,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"43,99 €","49,99 €",B-AVMTU40326,https://boutique-parquet.com/avmtu40326-sol-pvc-avec-sous-couche-integree-illume-graphite-tendre.html
fiberdeck - forkpad cales fourchettes 2 à 5 mm mix - 200 pièces - nivo,335bf4f5-c0d3-4a69-a77f-dfa029178237,"19,75 €","29,90 €",B-0679,https://boutique-parquet.com/fiberdeck-forkpad-cales-fourchettes-2-a-5mm-mix-200-pieces-nivo.html
dalle plombante pvc simplay sterling terrazzo,7eafaefa-3b0d-4c52-9faa-932e1dc05435,"49,90 €","82,24 €",B-2495,https://boutique-parquet.com/dalle-plombante-pvc-simplay-sterling-terrazzo.html
avstu40035 - sol pvc - oro sous-couche intégrée - ardoise noire - 5mm,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"39,95 €","44,99 €",B-AVSTU40035,https://boutique-parquet.com/sol-pvc-oro-ardoise-noire.html
avstu40136 - sol pvc - oro sous-couche intégrée - marbre de carrare - 5mm,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"39,95 €","44,99 €",B-AVSTU40136,https://boutique-parquet.com/sol-pvc-oro-marbre-de-carrare.html
avmtu40325 - sol pvc avec sous-couche intégrée - illume - ciel tendre,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"43,99 €","49,99 €",B-AVMTU40325,https://boutique-parquet.com/avmtu40325-sol-pvc-avec-sous-couche-integree-illume-ciel-tendre.html
lame plombante pvc simplay westbury oak 2480,7eafaefa-3b0d-4c52-9faa-932e1dc05435,"49,90 €","82,24 €",B-2480,https://boutique-parquet.com/lame-plombante-pvc-simplay-westbury-oak.html
lame plombante pvc simplay cornell oak,7eafaefa-3b0d-4c52-9faa-932e1dc05435,"49,90 €","82,24 €",B-2484,https://boutique-parquet.com/lame-plombante-pvc-simplay-cornell-oak.html
lame plombante pvc - simplay - natural wild oak,7eafaefa-3b0d-4c52-9faa-932e1dc05435,"49,90 €","82,24 €",B-2571,https://boutique-parquet.com/2571-dalle-plombante-pvc-simplay-natural-wild-oak.html
dalle plombante pvc simplay brown wild oak,7eafaefa-3b0d-4c52-9faa-932e1dc05435,"49,90 €","82,24 €",B-2570,https://boutique-parquet.com/2570-dalle-plombante-pvc-simplay-brown-wild-oak.html
